Date,news sentiment,number of news,positive news,negative news,neutral news,comments sentiment,number of comments,positive comments,negative comments,neutral comments,price change,volume change
2019-05-01,0.03698828107919016,165,37,29,100,0.08927049525528614,534,255,100,187,10.09,7454900.0
2019-05-02,0.015210045884203187,267,53,41,175,0.07228351480387483,496,219,90,190,10.93,5547500.0
2019-05-03,0.047544511431945984,191,41,13,139,0.10990371243474364,356,170,59,137,0.31,-12872900.0
2019-05-04,0.03973665223665224,94,12,7,75,0.09409580627806655,274,132,46,98,,
2019-05-05,0.05731969555498967,34,9,2,23,0.07571905959223721,164,73,32,60,,
2019-05-06,0.05007141591352118,95,27,13,56,0.06077107426974914,214,87,50,78,-8.28,-702500.0
2019-05-07,0.04684636986107574,102,23,8,72,0.09793150004548483,250,128,31,94,-2.22,-3955000.0
2019-05-08,0.0475114744693058,83,22,4,59,0.07271455624747677,274,128,51,97,-2.86,535000.0
2019-05-09,0.06491002778316211,134,33,8,93,0.09957722700355603,369,185,48,138,-2.46,296900.0
2019-05-10,0.048892408599267044,113,28,13,73,0.11312599145619487,287,147,42,99,-12.51,3826500.0
2019-05-11,0.058606774431242514,94,25,5,64,0.05007390045797461,148,69,32,49,,
2019-05-12,0.007422046552481335,46,9,8,29,0.11960611567887966,163,97,27,40,,
2019-05-13,0.04424287118977385,113,35,17,62,0.08532777980956747,456,227,80,153,5.3,-3582400.0
2019-05-14,0.017379033844942937,176,28,14,135,0.07024464198287472,289,138,62,91,-0.36,43600.0
2019-05-15,0.07141455766455765,91,33,10,48,0.09071328986567874,203,95,32,76,-3.62,187300.0
2019-05-16,0.03361085995579666,158,28,16,117,0.07316892695640177,366,168,65,139,-17.3,10303400.0
2019-05-17,0.029027968763262874,170,39,19,113,0.06908459320342555,961,397,174,400,-5.67,2739500.0
2019-05-18,0.008001443001443004,49,6,6,37,0.08490878728488589,400,202,64,142,,
2019-05-19,0.023288567493112946,44,8,4,32,0.07832433830671175,227,115,43,73,,
2019-05-20,0.003608706108706107,126,19,16,92,0.08165763518337318,917,460,175,290,-0.28,-2522300.0
2019-05-21,0.022697194206502718,188,26,11,152,0.08020516177123162,637,327,110,212,-12.35,681300.0
2019-05-22,0.06088348342866416,166,42,15,111,0.09077558045864467,1033,512,173,356,2.76,7861900.0
2019-05-23,0.05033677149061766,169,46,24,101,0.08019719246402694,884,412,151,333,-4.86,-12410500.0
2019-05-24,0.05185713703858865,124,41,16,67,0.091432113183015,654,318,116,223,-1.93,-3823700.0
2019-05-25,0.027595017976373905,59,12,5,42,0.1056375932077294,268,146,33,91,,
2019-05-26,0.008059764309764312,36,12,7,17,0.1015295068059498,204,114,36,56,,
2019-05-27,0.0517965367965368,49,15,5,31,0.08300276163672432,328,158,52,120,,
2019-05-28,0.05079685746352413,105,37,17,52,0.040406023472674066,444,193,107,147,1.16,1655700.0
2019-05-29,0.05036713661713662,111,30,9,73,0.07031909063127564,480,220,87,178,-1.64,-4042100.0
2019-05-30,0.10974783549783551,100,37,7,56,0.06893126390193406,448,221,63,169,-3.06,2480200.0
2019-05-31,0.04761199658926931,132,30,16,86,0.06936805024059775,584,264,119,205,-6.19,2657700.0
2019-06-01,0.025859885620915037,68,13,11,44,0.10817557672886635,220,112,35,75,,
2019-06-02,-0.035698370257193794,34,5,9,23,0.08441178260631449,196,99,36,63,,
2019-06-03,0.08571337297240911,83,28,9,46,0.06047868567728437,598,261,128,213,14.63,743100.0
2019-06-04,0.014007277071793204,93,28,15,50,0.08352622865983324,703,329,121,264,2.99,-296700.0
2019-06-05,0.03919117647058823,119,22,4,93,0.0847627658093102,479,230,71,183,9.36,6731400.0
2019-06-06,0.05209914149520892,89,28,12,49,0.1273009721802772,444,249,51,146,-1.45,-4238700.0
2019-06-07,0.06432466557466558,74,19,1,55,0.10811873753039142,343,179,51,116,8.38,-5418500.0
2019-06-08,0.02111782212885154,34,8,3,23,0.11408348490300728,142,77,19,46,,
2019-06-09,0.048433195592286496,22,6,1,16,0.12822189230522563,78,40,8,30,,
2019-06-10,0.04430889249639249,100,21,7,73,0.0924997965876694,360,172,60,133,4.22,1068500.0
2019-06-11,0.05931353003721425,114,26,6,82,0.0746149858798533,612,297,122,198,-7.84,3544000.0
2019-06-12,0.0454796066727885,132,30,11,93,0.06307825790119118,690,320,131,242,4.65,-7029200.0
